x,y
2.167971,0.743281
2.188801,0.576640
2.207317,0.437773
2.188801,0.280390
2.225833,0.134579
2.209631,-0.025118
2.267493,-0.168614
1.968008,1.121910
1.971185,0.944000
1.990247,0.781975
2.009309,0.619950
2.069671,0.464278
2.044255,0.299076
2.085556,0.156113
2.063317,0.000442
2.044255,-0.123460
2.130033,-0.266423
1.987070,-0.345847
2.085556,-0.469749
2.060140,-0.612712
2.187219,-0.488811
2.269820,-0.634951
1.920354,-0.711198
1.923531,-0.850984
2.104617,-0.914524
1.767859,-0.806507
2.129000,0.920400
1.428000,-0.321800
2.184510,-1.074112
1.964683,-0.990482
1.787866,-0.949862
1.983799,-1.167299
1.986188,-1.332169
1.804592,-1.250929
1.644501,-1.186414
1.601491,-1.365621
1.465294,-1.458808
1.484410,-1.688193
1.661227,-1.568722
1.326708,-1.793327
1.286088,-1.580669
1.109271,-1.688193
0.882276,-1.824390
1.823492,-1.448850
1.803506,-1.113096
1.085984,-1.947656
0.846172,-2.043257
0.624184,-2.098349
0.687378,-1.923351
0.505898,-1.981684
0.321178,-2.043257
0.199652,-1.929832
0.381131,-1.861778
0.560990,-1.798584
0.723025,-1.706224
0.943393,-1.605762
1.105428,-1.505300
1.306352,-1.387014
1.466767,-1.291414
1.821461,0.966756
1.785242,1.145438
1.746608,1.321705
1.567926,1.326534
1.466512,1.526947
1.328879,1.522118
1.246782,1.679068
1.063271,1.722531
0.903906,1.739434
1.005320,1.541435
1.164685,1.546264
1.208148,1.345851
1.326465,1.324119
1.427879,1.162340
1.608975,1.164754
1.671755,0.983658
1.488244,1.002975
1.524463,0.870171
1.683828,0.821879
1.823876,0.802562
1.681413,0.660099
1.848022,0.640782
1.724877,0.522466
1.867339,0.479003
1.744194,0.380004
1.893900,0.322053
1.768340,0.220639
1.930119,0.196493
1.765925,0.085420
1.903291,0.041166
1.803000,-0.059126
1.922395,-0.080617
1.803000,-0.178521
1.924782,-0.221503
1.805387,-0.302692
1.865085,-0.429250
1.900903,-0.570136
1.707484,-0.524766
1.664501,-0.402983
1.607192,-0.742065
1.623907,-1.031001
1.463918,-0.964140
1.483021,-1.126517
1.608497,-0.884862
1.288464,-1.206745
1.146021,-1.306640
1.162670,-1.125349
1.327312,-1.051353
1.308812,-0.905211
1.290313,-0.770168
1.467904,-0.827515
1.429056,-0.686922
1.543750,-0.603677
1.382809,-0.540780
1.547450,-0.464934
1.405007,-0.424236
1.528951,-0.344690
1.405007,-0.194848
1.565949,-0.242946
1.660294,-0.261445
1.686193,-0.141201
1.525251,-0.115302
1.384659,-0.078304
1.288464,-0.137501
1.166370,-0.218897
1.290313,-0.263295
1.310662,-0.381688
1.164520,-0.340991
1.166370,-0.461234
1.260715,-0.507482
1.268115,-0.625876
1.164520,-0.585178
1.121972,-0.707271
1.142321,-0.825665
1.025777,-0.886712
1.160820,-0.964408
1.027627,-1.045804
0.985080,-1.225244
0.803789,-1.308490
0.683545,-1.227094
0.846337,-1.143848
0.887035,-0.968108
0.907384,-0.827515
0.925883,-0.705421
1.023927,-0.746119
1.025777,-0.646225
0.922183,-0.585178
0.948081,-0.483433
1.044276,-0.525981
1.044276,-0.405737
0.944382,-0.361339
1.047976,-0.298443
1.044276,-0.181899
1.140471,-0.100503
1.046126,-0.061655
0.922183,-0.141201
0.805639,-0.080154
0.822288,-0.196698
0.818588,-0.320642
0.724243,-0.361339
0.825988,-0.426086
0.722393,-0.483433
0.805639,-0.544480
0.702044,-0.587028
0.822288,-0.646225
0.705744,-0.709121
0.809339,-0.766468
0.764941,-0.884862
0.666896,-0.831215
0.624348,-0.964408
0.705744,-1.047653
0.561452,-1.125349
0.542953,-1.312189
0.441208,-1.203045
0.483756,-1.047653
0.544803,-0.884862
0.563302,-0.768318
0.583651,-0.644375
0.604000,-0.544480
0.602150,-0.422386
0.624348,-0.318792
0.600300,-0.202248
0.705744,-0.159700
0.602150,-0.119002
0.724243,-0.043156
0.524454,-0.061655
0.402360,-0.120852
0.502255,-0.159700
0.502255,-0.263295
0.398660,-0.218897
0.400510,-0.322492
0.496705,-0.379839
0.380161,-0.424236
0.498555,-0.485283
0.382011,-0.522281
0.359812,-0.646225
0.465257,-0.707271
0.319115,-0.746119
0.444908,-0.827515
0.302465,-0.886712
0.382011,-0.966258
0.341313,-1.125349
0.282116,-1.265942
0.195171,-1.188246
0.239569,-1.023605
0.182222,-0.825665
0.219220,-0.683223
0.258068,-0.568529
0.261768,-0.461234
0.178522,-0.427936
0.180372,-0.320642
0.276567,-0.365039
0.298766,-0.263295
0.198871,-0.222597
0.295066,-0.180049
0.195171,-0.135651
0.296916,-0.083854
0.442285,1.121125
1.646412,-0.021416
1.508605,0.024519
1.265804,-0.019229
1.145497,0.024519
0.900509,-0.019229
0.821762,0.024519
0.605210,0.000458
0.421468,-0.021416
0.200541,-0.045478
0.102108,-0.095788
0.102108,-0.178909
0.084609,-0.277342
